|fn_cv|fp_cv|k_cv
108|0.326530612|5.591836735|50
109|0.346938776|5.571428571|50
110|0.346938776|5.530612245|50
111|0.367346939|5.469387755|50
112|0.346938776|5.448979592|50
113|0.367346939|5.571428571|50
114|0.367346939|5.571428571|50
115|0.367346939|5.551020408|50
116|0.653061224|5.285714286|50
117|0.367346939|5.591836735|50
118|0.632653061|5.285714286|50
119|0.346938776|5.591836735|50
120|0.367346939|5.551020408|50
121|0.367346939|5.428571429|50
122|0.653061224|5.244897959|50
123|0.346938776|5.612244898|50
124|0.367346939|5.551020408|50
125|0.326530612|5.551020408|50
126|0.367346939|5.510204082|50
127|0.367346939|5.530612245|50
128|0.367346939|5.510204082|50
129|0.367346939|5.510204082|50
130|0.346938776|5.551020408|50
131|0.346938776|5.632653061|50
132|0.367346939|5.551020408|50
133|0.346938776|5.571428571|50
134|0.367346939|5.571428571|50
135|0.367346939|5.489795918|50
136|0.367346939|5.571428571|50
137|0.367346939|5.489795918|50
138|0.632653061|5.224489796|50
139|0.346938776|5.510204082|50
140|0.653061224|5.265306122|50
141|0.367346939|5.469387755|50
142|0.653061224|5.285714286|50
143|0.367346939|5.510204082|50
144|0.346938776|5.510204082|50
145|0.346938776|5.448979592|50
146|0.367346939|5.571428571|50
147|0.367346939|5.571428571|50
148|0.367346939|5.530612245|50
149|0.367346939|5.530612245|50
150|0.361809045|5.547738693|200
151|0.361809045|5.567839196|200
152|0.361809045|5.567839196|200
153|0.361809045|5.527638191|200
154|0.361809045|5.547738693|200
155|0.361809045|5.507537688|200
156|0.341708543|5.527638191|200
157|0.361809045|5.547738693|200
158|0.361809045|5.527638191|200
159|0.361809045|5.547738693|200
160|0.361809045|5.547738693|200
161|0.361809045|5.527638191|200
162|0.361809045|5.547738693|200
163|0.361809045|5.527638191|200
164|0.361809045|5.547738693|200
165|0.361809045|5.507537688|200
166|0.361809045|5.527638191|200
167|0.361809045|5.547738693|200
168|0.361809045|5.547738693|200
169|0.361809045|5.527638191|200
170|0.361809045|5.527638191|200
171|0.361809045|5.527638191|200
172|0.361809045|5.547738693|200
173|0.361809045|5.547738693|200
174|0.361809045|5.547738693|200
175|0.361809045|5.547738693|200
176|0.361809045|5.547738693|200
177|0.361809045|5.567839196|200
178|0.361809045|5.547738693|200
179|0.361809045|5.547738693|200
180|0.361809045|5.547738693|200
181|0.361809045|5.507537688|200
182|0.361809045|5.547738693|200
183|0.361809045|5.547738693|200
184|0.361809045|5.547738693|200
185|0.361809045|5.567839196|200
186|0.361809045|5.547738693|200
187|0.361809045|5.567839196|200
188|0.361809045|5.547738693|200
189|0.361809045|5.567839196|200
190|0.361809045|5.547738693|200
191|0.361809045|5.527638191|200
192|0.361809045|5.567839196|200
193|0.361809045|5.567839196|200
194|0.64321608|5.286432161|200
195|0.361809045|5.547738693|200
196|0.361809045|5.547738693|200
197|0.361809045|5.507537688|200
198|0.361809045|5.547738693|200
199|0.361809045|5.527638191|200
200|0.361809045|5.527638191|200
201|0.361809045|5.547738693|200
202|0.64321608|5.246231156|200
203|0.341708543|5.547738693|200
204|0.361809045|5.547738693|200
205|0.361809045|5.567839196|200
206|0.361809045|5.527638191|200
207|0.361809045|5.567839196|200
208|0.361809045|5.527638191|200
209|0.361809045|5.567839196|200
210|0.361809045|5.507537688|200
211|0.361809045|5.547738693|200
212|0.361809045|5.547738693|200
213|0.361809045|5.527638191|200
214|0.361809045|5.527638191|200
215|0.64321608|5.286432161|200
216|0.64321608|5.266331658|200
217|0.361809045|5.487437186|200
218|0.361809045|5.547738693|200
219|0.361809045|5.527638191|200
220|0.361809045|5.567839196|200
221|0.341708543|5.527638191|200
222|0.361809045|5.567839196|200
223|0.341708543|5.567839196|200
224|0.361809045|5.507537688|200
225|0.361809045|5.547738693|200
226|0.64321608|5.246231156|200
227|0.361809045|5.547738693|200
228|0.361809045|5.547738693|200
229|0.361809045|5.567839196|200
230|0.361809045|5.547738693|200
231|0.361809045|5.547738693|200
232|0.64321608|5.206030151|200
233|0.361809045|5.507537688|200
234|0.361809045|5.467336683|200
235|0.361809045|5.547738693|200
236|0.361809045|5.527638191|200
237|0.341708543|5.567839196|200
238|0.361809045|5.547738693|200
239|0.361809045|5.547738693|200
240|0.361809045|5.487437186|200
241|0.361809045|5.527638191|200
242|0.361809045|5.567839196|200
243|0.341708543|5.527638191|200
244|0.361809045|5.547738693|200
245|0.361809045|5.567839196|200
246|0.361809045|5.547738693|200
247|0.361809045|5.567839196|200
248|0.361809045|5.487437186|200
249|0.361809045|5.567839196|200
250|0.361809045|5.547738693|200
251|0.361809045|5.547738693|200
252|0.361809045|5.547738693|200
253|0.361809045|5.527638191|200
254|0.341708543|5.527638191|200
255|0.361809045|5.467336683|200
256|0.361809045|5.527638191|200
257|0.341708543|5.507537688|200
258|0.361809045|5.567839196|200
259|0.361809045|5.527638191|200
260|0.361809045|5.507537688|200
261|0.361809045|5.527638191|200
262|0.361809045|5.567839196|200
263|0.361809045|5.547738693|200
264|0.361809045|5.547738693|200
265|0.361809045|5.567839196|200
266|0.361809045|5.567839196|200
